Samplingpoint,Pollutant,Start,End,Value,Unit,AggType,Validity,Verification,ResultTime
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-12,2022-02-13,17.5,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-13,2022-02-14,18.472222,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-14,2022-02-15,11.944444,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-15,2022-02-16,8.055555,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-16,2022-02-17,4.027777,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-17,2022-02-18,12.916666,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-18,2022-02-19,13.472222,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-19,2022-02-20,9.444444,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-20,2022-02-21,3.888888,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-21,2022-02-22,6.805555,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-22,2022-02-23,9.722222,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-23,2022-02-24,13.472222,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-24,2022-02-25,12.777777,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-25,2022-02-26,9.722222,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-26,2022-02-27,12.638888,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-27,2022-02-28,12.222222,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-28,2022-03-01,17.222222,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-01,2022-03-02,20.138888,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-02,2022-03-03,34.722222,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-03,2022-03-04,36.388888,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-04,2022-03-05,28.333333,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-05,2022-03-06,18.194444,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-06,2022-03-07,18.333333,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-07,2022-03-08,20.0,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-08,2022-03-09,20.694444,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-09,2022-03-10,31.527777,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-10,2022-03-11,29.583333,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-11,2022-03-12,23.472222,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-12,2022-03-13,25.0,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-13,2022-03-14,29.166666,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-14,2022-03-15,14.305555,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-15,2022-03-16,22.222222,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-16,2022-03-17,23.75,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-17,2022-03-18,38.472222,ug.m-3,day,1,1,2023-06-27 14:13:59
