Samplingpoint,Pollutant,Start,End,Value,Unit,AggType,Validity,Verification,ResultTime,DataCapture,FkObservationLog
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-01-30,2022-01-31,11.944444000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-01-31,2022-02-01,8.611111000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-01,2022-02-02,7.777777000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-02,2022-02-03,10.694444000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-03,2022-02-04,12.916666000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-04,2022-02-05,6.666666000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-05,2022-02-06,7.916666000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-06,2022-02-07,5.416666000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-07,2022-02-08,8.888888000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-08,2022-02-09,12.083333000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-09,2022-02-10,20.972222000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-10,2022-02-11,20.555555000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-11,2022-02-12,11.250000000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-12,2022-02-13,17.500000000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-13,2022-02-14,18.472222000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-14,2022-02-15,11.944444000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-15,2022-02-16,8.055555000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-16,2022-02-17,4.027777000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-17,2022-02-18,12.916666000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-18,2022-02-19,13.472222000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-19,2022-02-20,9.444444000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-20,2022-02-21,3.888888000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-21,2022-02-22,6.805555000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-22,2022-02-23,9.722222000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-23,2022-02-24,13.472222000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-24,2022-02-25,12.777777000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-25,2022-02-26,9.722222000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-26,2022-02-27,12.638888000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-27,2022-02-28,12.222222000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-02-28,2022-03-01,17.222222000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-01,2022-03-02,20.138888000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-02,2022-03-03,34.722222000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-03,2022-03-04,36.388888000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
